,revenue_cagr,revenue_linear,net_income_cagr,net_income_linear
2020-06-30,60485598.12465161,74762417.07317074,11619813.781164903,15978163.41463415
2020-09-30,62739141.88083032,75973527.5261324,12002851.125340013,16215751.916376311
2020-12-31,65076647.10252262,77184637.97909409,12398514.971952757,16453340.41811847
2021-03-31,67501241.98622873,78395748.43205576,12807221.54298836,16690928.919860631
2021-06-30,70016171.27731195,79606858.88501742,13229400.780838134,16928517.421602793
2021-09-30,72624800.61232084,80817969.33797911,13665496.800581092,17166105.92334495
2021-12-31,75330621.02309589,82029079.79094078,14115968.357174598,17403694.425087113
2022-03-31,78137253.60868777,83240190.24390244,14581289.328045614,17641282.92682927
