,revenue,cogs,rnd,admin,marketing,operating_income,net_income,operating_margin_pct,net_margin_pct
2020-06-30,59319338.12465161,37289921.36989696,3663002.5420166696,4234591.222293638,59319.338124651615,14072503.652319688,11258002.921855751,23.72329850132214,18.978638801057713
2020-09-30,60343043.15584425,37933453.16451888,3726216.9043154214,4307669.7912115315,60343.04315584425,14315360.252642578,11452288.202114062,23.72329850132215,18.97863880105772
2020-12-31,61384414.803422384,38588090.72593986,3790522.1901270575,4382009.515446371,61384.41480342238,14562407.95710567,11649926.365684537,23.723298501322144,18.978638801057716
2021-03-31,62443757.949480936,39254025.71222128,3855937.2260926696,4457632.159419066,62443.75794948094,14813719.093798438,11850975.27503875,23.723298501322144,18.978638801057716
2021-06-30,63521382.73762559,39931453.08896854,3922481.1637546048,4534559.863150592,63521.382737625594,15069367.23901423,12055493.791211385,23.723298501322137,18.97863880105771
2021-09-30,64617604.66377344,40620571.18641107,3990173.4851634516,4612815.148743915,64617.60466377344,15329427.238791231,12263541.791032985,23.723298501322144,18.978638801057716
2021-12-31,65732744.66852059,41321581.75746744,4059034.0085817967,4692420.9269777825,65732.7446685206,15593975.230825052,12475180.184660042,23.723298501322134,18.97863880105771
2022-03-31,66867129.231103934,42034690.03681249,4129082.8942864137,4773400.504014306,66867.12923110393,15863088.66675962,12690470.933407696,23.723298501322144,18.978638801057716
