,revenue,cogs,rnd,admin,marketing,operating_income,net_income,operating_margin_pct,net_margin_pct
2020-06-30,61651858.12465161,37523176.48482173,3683733.2496065297,4277797.602584329,0.0,16167150.787639022,12933720.630111217,26.223298501322144,20.978638801057716
2020-09-30,65181891.005816385,39671660.74509103,3894654.7026186893,4522733.71084499,0.0,17092841.84726168,13674273.477809343,26.22329850132214,20.978638801057713
2020-12-31,68914044.83712202,41943161.89915907,4117652.9962504865,4781694.254738985,0.0,18071535.686973482,14457228.549578786,26.223298501322134,20.978638801057706
2021-03-31,72859892.56416453,44344723.5900442,4353419.62051998,5055482.238756874,0.0,19106267.11484348,15285013.691874785,26.22329850132214,20.978638801057713
2021-06-30,77031669.77077548,46883792.76233938,4602685.658453045,5344946.645439865,0.0,20200244.70454319,16160195.763634551,26.22329850132214,20.978638801057713
2021-09-30,81442312.62004809,49568242.75426261,4866224.05308106,5650985.067969254,0.0,21356860.744735166,17085488.595788132,26.223298501322144,20.978638801057713
2021-12-31,86105497.96777268,52406397.7119011,5144852.004241261,5974546.4934914205,0.0,22579701.758138895,18063761.406511117,26.223298501322134,20.97863880105771
2022-03-31,91035685.77266817,55407058.40135464,5439433.502611969,6316634.24580913,0.0,23872559.62289243,19098047.698313944,26.223298501322144,20.978638801057716
