,revenue,cogs,rnd,admin,marketing,operating_income,net_income,operating_margin_pct,net_margin_pct
2020-06-30,60485598.12465161,37418211.527359344,3674534.1558116,4257360.672438984,0.0,15135491.769041684,12108393.415233348,25.02329850132215,20.01863880105772
2020-09-30,62739141.88083032,38812321.523280635,3811438.20835365,4415979.399187846,0.0,15699402.750008186,12559522.20000655,25.023298501322145,20.018638801057715
2020-12-31,65076647.10252262,40258372.60888513,3953442.9672186477,4580507.8673026,0.0,16284323.659116238,13027458.927292991,25.023298501322138,20.018638801057712
2021-03-31,67501241.98622873,41758299.98068197,4100738.4721060023,4751166.259126955,0.0,16891037.274313807,13512829.819451047,25.023298501322145,20.018638801057715
2021-06-30,70016171.27731195,43314110.93581495,4253521.8431242015,4928182.960454056,0.0,17520355.537918746,14016284.430334998,25.023298501322145,20.018638801057715
2021-09-30,72624800.61232084,44927887.558353715,4411997.544589333,5111794.866166717,0.0,18173120.643211074,14538496.51456886,25.023298501322138,20.018638801057715
2021-12-31,75330621.02309589,46601789.50566971,4576377.6586521035,5302247.697265059,0.0,18850206.161509015,15080164.929207213,25.023298501322138,20.018638801057715
2022-03-31,78137253.60868777,48338056.89862544,4746882.169119497,5499796.329705791,0.0,19552518.211237047,15642014.568989638,25.023298501322138,20.018638801057712
